stn_id,stn_ko,stn_en,lat,lon,ht,ht_pa,ht_ta,ht_wd,ht_rn
90,속초,Sokcho,38.25085,128.56473,17.5,18.73,1.7,10.0,1.4
93,북춘천,Bukchuncheon,37.94738,127.75443,95.8,96.78,1.5,10.0,1.4
95,철원,Cheorwon,38.14787,127.3042,155.5,156.98,1.8,13.0,1.5
98,동두천,Dongducheon,37.90188,127.0607,115.6,116.74,1.7,10.0,1.0
99,파주,Paju,37.88589,126.76648,30.6,31.99,1.7,10.0,1.0
100,대관령,Daegwallyeong,37.67713,128.71834,772.4,773.43,1.7,10.0,1.4
101,춘천,Chuncheon,37.90262,127.7357,75.8,77.05,1.5,10.0,1.4
102,백령도,Baengnyeongdo,37.97396,124.71237,36.0,37.2,1.8,9.0,1.2
104,북강릉,Bukgangneung,37.80456,128.85535,75.2,76.67,1.7,10.0,1.4
105,강릉,Gangneung,37.75147,128.89099,27.1,28.22,1.7,10.0,0.5
106,동해,Donghae,37.50709,129.12433,40.5,41.66,1.7,10.0,1.4
108,서울,Seoul,37.57142,126.9658,85.7,86.67,1.5,10.0,0.5
112,인천,Incheon,37.47772,126.6249,69.0,70.19,1.6,10.0,1.2
114,원주,Wonju,37.33749,127.94659,150.1,151.11,1.7,14.0,1.4
115,울릉도,Ulleungdo,37.48129,130.89863,221.1,223.7,1.6,10.0,1.3
119,수원,Suwon,37.25746,126.983,39.8,40.81,1.6,18.7,1.1
121,영월,Yeongwol,37.18126,128.45743,240.5,242.05,1.7,10.0,1.4
127,충주,Chungju,36.97045,127.9525,114.9,116.25,1.65,10.0,1.0
129,서산,Seosan,36.77658,126.4939,25.3,26.55,1.6,20.2,1.1
130,울진,Uljin,36.99176,129.41278,49.0,50.18,1.75,10.0,1.3
131,청주,Cheongju,36.63924,127.44066,58.7,60.1,1.7,10.0,0.8
133,대전,Daejeon,36.37198,127.37211,70.2,71.12,1.6,19.8,1.2
135,추풍령,Chupungnyeong,36.22025,127.99458,245.0,246.18,1.6,10.0,1.1
136,안동,Andong,36.57293,128.70733,141.3,142.76,1.8,10.0,1.3
137,상주,Sangju,36.40837,128.15741,96.6,97.98,1.8,10.0,1.4
138,포항,Pohang,36.03201,129.38002,3.9,4.92,1.6,10.0,1.2
140,군산,Gunsan,36.0053,126.76135,27.9,24.6,1.7,10.0,1.0
143,대구,Daegu,35.87797,128.65296,54.3,55.52,1.8,10.0,0.6
146,전주,Jeonju,35.84092,127.11718,60.4,62.9,1.6,10.0,1.4
152,울산,Ulsan,35.58237,129.33469,81.1,83.2,1.8,10.0,1.3
155,창원,Changwon,35.17019,128.57282,35.0,39.1,1.7,10.0,1.3
156,광주,Gwangju,35.17294,126.89156,70.3,73.9,1.7,17.5,0.8
159,부산,Busan,35.10468,129.03203,69.6,70.9,1.5,18.0,1.3
162,통영,Tongyeong,34.84541,128.43561,31.2,33.2,1.5,18.0,1.3
165,목포,Mokpo,34.81732,126.38151,44.7,39.2,1.5,14.5,1.0
168,여수,Yeosu,34.73929,127.74063,65.9,66.1,1.5,13.0,0.6
169,흑산도,Heuksando,34.68719,125.45105,75.1,78.0,1.5,15.5,0.6
170,완도,Wando,34.3959,126.70182,35.4,36.7,1.5,10.0,0.8
172,고창,Gochang,35.34824,126.599,52.4,53.5,1.8,10.0,1.7
174,순천,Suncheon,35.0204,127.3694,165.0,166.5,1.5,10.0,0.8
177,홍성,Hongseong,36.65759,126.68772,27.7,28.7,1.5,10.0,1.5
184,제주,Jeju,33.51411,126.52969,20.8,21.99,1.7,15.0,1.5
185,고산,Gosan,33.29382,126.16283,71.4,72.49,1.7,10.0,1.5
188,성산,Seongsan,33.38677,126.8802,20.3,21.74,1.7,10.0,1.5
189,서귀포,Seogwipo,33.24616,126.5653,51.9,53.16,1.7,10.0,1.5
192,진주,Jinju,35.16378,128.04004,29.4,31.6,1.8,10.0,1.3
201,강화,Ganghwa,37.70739,126.44634,47.8,49.24,1.6,10.0,0.6
202,양평,Yangpyeong,37.48863,127.49446,47.3,48.76,1.9,10.0,0.6
203,이천,Icheon,37.26399,127.48421,80.1,81.59,1.8,10.0,0.6
211,인제,Inje,38.05986,128.16714,201.8,202.78,1.5,10.0,0.5
212,홍천,Hongcheon,37.6836,127.88043,140.2,141.2,1.6,13.0,0.5
216,태백,Taebaek,37.17038,128.98929,714.5,715.25,1.6,16.0,0.6
217,정선군,Jeongseon Gun,37.38149,128.6459,307.6,309.0,1.8,10.0,0.6
221,제천,Jecheon,37.15928,128.19433,264.6,265.39,1.5,10.0,0.5
226,보은,Boeun,36.48761,127.73415,171.3,172.71,1.5,10.0,0.5
232,천안,Cheonan,36.76217,127.29282,84.8,83.0,1.8,10.0,1.2
235,보령,Boryeong,36.32724,126.55744,10.0,17.0,1.6,10.0,1.1
236,부여,Buyeo,36.27242,126.92079,13.4,14.88,1.7,10.0,0.5
238,금산,Geumsan,36.10563,127.48175,172.7,173.99,1.5,10.0,0.5
239,세종,sejong,36.48522,127.24438,89.5,95.0,1.6,10.0,1.0
243,부안,Buan,35.72961,126.71657,12.2,13.5,1.8,10.0,0.6
244,임실,Imsil,35.61203,127.28556,247.0,248.44,1.8,10.0,0.6
245,정읍,Jeongeup,35.56337,126.83904,68.7,70.97,1.9,10.0,1.0
247,남원,Namwon,35.4213,127.39652,133.5,91.8,1.7,10.0,0.7
248,장수,Jangsu,35.65696,127.52031,406.9,408.0,1.6,10.0,0.5
251,고창군,Gochanggun,35.42661,126.697,58.8,55.5,1.7,10.0,0.6
252,영광군,Yeonggwanggun,35.28366,126.47784,37.2,38.7,1.5,13.0,0.6
253,김해시,Gimhaesi,35.22981,128.89075,54.6,54.6,1.7,10.0,0.5
254,순창군,Sunchanggun,35.37131,127.1286,129.4,128.4,1.6,10.0,0.6
255,북창원,Bukchangwon,35.22655,128.6726,51.0,50.3,1.8,10.0,0.7
257,양산시,Yangsansi,35.30737,129.02009,6.3,16.1,1.8,10.0,0.6
258,보성군,Boseonggun,34.76335,127.21226,1.4,4.3,1.5,10.0,0.6
259,강진군,Gangjin Gun,34.64457,126.78408,16.0,20.0,1.5,10.0,0.6
260,장흥,Jangheung,34.68886,126.91951,44.0,46.3,1.5,10.0,0.8
261,해남,Haenam,34.55375,126.56907,16.4,17.91,1.5,10.0,0.8
262,고흥,Goheung,34.61826,127.27572,51.9,53.31,1.5,10.0,0.8
263,의령군,Uiryeonggun,35.32258,128.28812,14.1,14.9,2.0,10.0,0.6
264,함양군,Hamyanggun,35.51138,127.74538,152.1,152.5,1.8,10.0,0.6
266,광양시,Gwangyangsi,34.9434,127.6914,88.2,87.9,1.7,10.0,0.6
268,진도군,Jindogun,34.47296,126.25846,9.8,6.9,1.7,10.0,0.6
271,봉화,Bongwhoa,36.94361,128.91449,324.7,326.22,1.9,10.0,0.6
272,영주,Yeongju,36.87183,128.51687,211.3,212.78,1.91,10.0,0.58
273,문경,Mungyeong,36.62727,128.14879,173.0,174.51,1.8,10.0,0.6
276,청송군,Cheongsonggun,36.4351,129.04005,208.7,210.2,1.75,10.0,0.5
277,영덕,Yeongdeok,36.53337,129.40926,40.7,42.01,1.7,10.0,0.6
278,의성,Uiseong,36.3561,128.68864,81.4,82.94,1.7,10.0,0.6
279,구미,Gumi,36.13055,128.32055,49.2,50.67,1.7,10.0,1.4
281,영천,Yeongcheon,35.97742,128.9514,96.1,97.62,1.7,10.0,0.5
283,경주시,GyeongJu,35.8174,129.2009,40.1,41.63,1.67,10.0,0.59
284,거창,Geochang,35.66739,127.9099,228.5,227.3,1.5,10.0,1.3
285,합천,Hapcheon,35.56505,128.16994,26.7,33.2,1.5,10.0,0.5
288,밀양,Miryang,35.49147,128.74412,8.3,12.5,2.0,10.0,1.3
289,산청,Sancheong,35.413,127.8791,138.2,138.8,1.6,10.0,0.6
294,거제,Geoje,34.88818,128.60459,44.8,46.7,1.7,10.0,0.6
295,남해,Namhae,34.81662,127.92641,45.7,47.01,1.8,10.0,0.8
